epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,794.796,0.50898,0.2971,0.83506,0.99265,0.92079,0.94456,0.81956,0.60617,0.31738,0.84429,0.00133076,0.00133076,0.00133076
171,799.37,0.51519,0.30182,0.83479,0.99123,0.91978,0.94547,0.82522,0.59117,0.31678,0.84384,0.0013268,0.0013268,0.0013268
172,803.684,0.51186,0.30265,0.83604,0.9928,0.92113,0.94387,0.82471,0.58802,0.31167,0.8433,0.00132284,0.00132284,0.00132284
173,808.5,0.49118,0.28933,0.83321,0.99348,0.92183,0.942,0.82285,0.59457,0.31048,0.84479,0.00131888,0.00131888,0.00131888
174,813.049,0.51617,0.29879,0.83649,0.99273,0.92237,0.94606,0.8284,0.59444,0.30977,0.84422,0.00131492,0.00131492,0.00131492
175,817.202,0.50404,0.29382,0.83648,0.99187,0.92224,0.94652,0.8253,0.60304,0.31801,0.84714,0.00131096,0.00131096,0.00131096
176,822.189,0.49747,0.29153,0.83077,0.99035,0.92333,0.9469,0.8329,0.58401,0.30562,0.84266,0.001307,0.001307,0.001307
177,826.664,0.50079,0.29183,0.8335,0.99309,0.92158,0.94618,0.83032,0.58758,0.31086,0.84383,0.00130304,0.00130304,0.00130304
178,830.98,0.48975,0.28678,0.83103,0.99179,0.92247,0.94519,0.83012,0.58697,0.3078,0.8437,0.00129908,0.00129908,0.00129908
179,836.127,0.50426,0.29191,0.83289,0.99123,0.92292,0.94686,0.83179,0.59359,0.31381,0.84368,0.00129512,0.00129512,0.00129512
180,840.405,0.51272,0.29695,0.83541,0.99164,0.92287,0.94679,0.83208,0.59654,0.31348,0.84424,0.00129116,0.00129116,0.00129116
